D1,D2,D3,D4,D5,S1,S2,S3,S4,medsq2,precmed
-0.792866409,0.955278099,0.046761304,0.27148208,-0.11838682,-0.209634364,-0.266614348,-0.179941446,-1.095524669,696,42976
0.323308617,0.174641997,-0.610704899,0.646391571,0.360934585,-0.159713268,0.318491757,0.393619031,-1.730829477,919,119136
0.818585694,-0.092020601,0.082547605,0.956576109,-0.259779215,0.163582399,-0.115744881,0.289982527,1.088903069,#N/A,33928
-0.915785015,0.6376881,0.709702194,-0.02469448,0.849549174,-0.335757911,0.2343788,-0.400656074,-1.047362924,794,53832
-0.632828534,0.424048305,-0.242763653,-0.016478937,0.033605613,-0.082375437,0.163176209,-0.550747991,-1.294709802,610,37396
0.559320152,-0.029670442,0.184226915,0.394836128,-0.343997777,0.461284548,-0.544898331,-0.07038141,-1.317145228,#N/A,30796
1.241461992,0.27614814,0.803256452,-0.685546398,-0.062518239,0.382766902,-0.786494017,-0.23997508,-1.307216406,#N/A,17708
-1.307990074,0.110630535,-0.047909498,0.292302251,-0.0266442,-0.686466038,-0.803564668,0.011231869,-1.063379288,552,40321
-1.244217634,0.16325739,-0.279869735,0.226791084,-0.181580305,-0.558861196,-0.386949778,0.131911412,-1.625862122,671,41105
-1.168697476,0.041066494,1.199610472,-0.011058882,0.142740995,-0.986085951,-0.78599292,0.3280707,-1.017429113,#N/A,43916
-0.981107473,-1.180527329,1.135581136,0.798013568,-0.212987483,-0.807773292,-0.634887934,0.771990657,1.314188361,615,44155
0.495432556,0.0346107,0.437744856,0.912037015,1.525081396,-0.892602205,0.351926506,0.826126635,1.207346797,701,34885
-0.257682592,-0.511197329,-0.828470826,0.218619958,1.631249547,-0.501024902,0.995027661,0.002711236,1.046814561,#N/A,12943
-0.510949969,1.433208585,-0.900538564,0.058978304,2.485996246,0.15075478,0.881480753,-0.974020839,-1.031081557,639,28574
-1.53119266,-0.343362659,0.476216257,0.081018962,0.012042683,-1.069503903,-0.487705052,0.327207446,-2.02974391,751,49072
-2.019140482,-0.454440296,-0.146177351,-0.124923617,-0.678338468,-1.43726337,-0.256384909,0.355579406,-2.152675629,694,50298
-2.401787758,-0.995207727,0.480882764,0.175923795,-0.880985856,-1.715095758,-0.105704308,0.416032821,-1.459167004,644,45703
-1.570651889,-0.411788583,0.220400393,-0.131771639,-0.422020823,-1.041043878,-0.476812899,0.51214391,-1.665081859,637,36257
-1.539235473,-0.551457465,-0.246810555,-0.268351853,-0.526407301,-1.655014634,0.999810636,0.052294016,1.197533846,699,49287
-2.207502842,-0.64803046,-0.221144378,-0.443612665,-0.608304799,-1.598762274,0.862623572,-0.363896191,1.016581059,709,54936
-2.235645294,-0.651851356,-0.51497823,-0.263729393,0.188989222,-1.927182198,0.867169321,-0.038510785,1.307238817,669,39361
-1.51190567,0.026446864,0.277633697,0.062060378,0.019549323,-1.294455528,-0.754324615,0.081337027,-1.554443717,659,34371
-1.79364717,-0.692553282,0.974684834,0.071494035,-0.196164712,-1.381571531,-0.880044341,0.610008955,-1.525267363,613,35992
1.074300647,0.493244439,-0.324391901,0.077328533,-0.159793854,1.67466557,-0.716029644,-0.175542414,-1.380997181,#N/A,28525
-1.640844822,-0.403900415,0.453633547,0.033575542,-0.22269012,-1.109771848,-0.305733889,0.199865177,-1.929526567,975,67805
-1.848393798,-0.462922275,-0.478799611,-0.147796631,-0.946840644,-1.513142705,-0.409464121,0.364510924,-2.161539555,706,34894
-2.292397261,-0.747537851,0.073726431,-0.183780894,-0.429865569,-1.941013098,-0.40580982,0.682571292,-1.413004637,626,39766
-1.883076668,-0.900489509,0.336082399,0.286906809,-0.617738545,-1.745245934,0.005349278,0.617391407,1.174040079,#N/A,40696
-1.669149876,-0.614166498,-0.420866281,0.174635321,-0.161593065,-1.566648483,0.857633948,-0.322716951,1.660030842,#N/A,28782
-2.325223923,-0.868635893,-0.130730778,-0.003487557,-0.85472399,-1.394070268,0.843709707,-0.305123121,1.15229249,#N/A,32093
-2.077076674,-0.679888189,0.182834148,-0.139204815,-0.65978241,-1.393362045,-0.124568023,0.384136796,-2.40136981,802,102269
-1.718173027,-0.585556388,0.768870533,-0.22276713,-0.273822129,-1.147297144,-0.485102177,0.319118857,-1.832892895,#N/A,28960
-1.317968249,-0.348819494,0.513572454,-0.220333084,0.566651762,-1.063646436,-0.029873319,0.114364907,-1.53758347,623,30126
